00000f24,000005cc,
00000e70,000026f5,
00000b8a,00000fb3,
0000033a,0000261c,
00000a07,00001a46,
000015b5,00000fca,
00000c38,00000af0,
00000358,0000112e,
00000b9f,00001b65,
00001619,0000240b,
00000171,00000ca4,
00000f4d,000012a5,
00000826,000002e0,
00001755,000007bf,
00000465,0000059e,
00001555,000006d7,
00001032,00002507,
00000b88,000002d4,
00000e50,00000a28,
00000d3e,00000bb9,
00000eaf,00001cc2,
00000197,000012be,
00001252,00000180,
0000152d,000012e6,
0000143a,00001efa,
0000171c,00002037,
0000173e,00002299,
00000383,0000182c,
0000068d,00001e16,
00000e46,00001e01,
00000306,00002051,
000009ae,0000184d,
00000358,0000089d,
00001603,000018fc,
0000143a,00000319,
0000139f,00001fe0,
0000056b,00002231,
00000c28,00001602,
00000037,000022a9,
00000dfb,00000c77,
000007e3,0000229b,
00000b8a,0000188d,
00001397,00000296,
00000b6c,000020f5,
00000ba1,0000225e,
00000e50,00000881,
000013b7,00002538,
0000122d,00000086,
00000b09,00001aaf,
0000136b,000005d7,
00000d97,00000b04,
00001065,000002d8,
000000f7,0000083f,
0000122d,000003fa,
000002e4,00001a06,
00000868,00001ea2,
000000df,000000b1,
00001637,000006e4,
0000118d,0000141d,
0000043e,000006de,
000003b3,000011f8,
00000127,00002447,
00000e50,000001f4,
0000122d,00001352,
000004a0,000001ef,
00000656,00001959,
00000b6c,00001b50,
0000038c,00001b3a,
00001368,00000e52,
00001179,000024d0,
00000e6b,00001ba2,
0000133a,00001562,
000011a7,00001d8c,
00000c79,00000f39,
00000903,00000a91,
0000107a,00000ec5,
00000b3e,0000039f,
00001154,00001fae,
00000985,000021f8,
00000462,000019c5,
00000568,000026b7,
0000038b,00000771,
00000770,00000b33,
00000164,00001ff5,
00000b3e,00000247,
00000eff,00000753,
00000ef5,00001cb5,
0000144a,00001a04,
00000f45,0000026d,
000010de,000020d4,
00000ef3,00000772,
0000152c,00000f3b,
00001561,00000a90,
000015ae,00001987,
00000ad2,00000b42,
000008f8,00000658,
00000177,00000eb7,
0000163e,00002566,
0000038c,00001368,
00000e61,00000f71,
00000cdb,00001db0,
000009ab,00001946,
000005ae,00001dce,
00000eff,00000400,
00000d97,000012fd,
00000762,0000177d,
0000122d,00002291,
0000081a,00000c81,
00001229,000001fe,
000007fb,00001386,
00000efa,00001442,
0000150c,00000c03,
000009a0,00000d72,
0000099a,00001087,
00000ad5,00000a8e,
00000ef7,000010ad,
00000e50,00000303,
00000aef,00000edc,
00000d97,00000f18,
000007a1,00001feb,
000013fd,00001d42,
0000121c,00001634,
00000894,000001d8,
00000d97,0000017d,
00000afe,00000dfd,
00000b9f,000017b1,
000005e4,000007f5,
000006a9,000012f6,
000008ac,00001447,
00000d97,000017e0,
00000443,000016e2,
00000462,00001cb7,
000008ca,000009b4,
0000041b,00001fca,
00001210,000021a3,
0000102a,00001407,
0000017f,00000f17,
000007e3,000020eb,
0000038c,0000231b,
00000462,00001110,
00001479,00000e0b,
0000097c,00001036,
000007c5,000001a6,
00000193,00001539,
000000df,00000b91,
00000ccb,00000325,
000000ce,00001222,
0000131f,00000fe4,
0000163e,000024b8,
00000c28,00001a38,
0000122d,000024b3,
00000cc2,00002516,
00000678,00001e88,
00001204,000008dd,
00001404,00000f92,
00000d9e,00002199,
00000c28,00000505,
000002b2,00001e2a,
00000862,000003e9,
0000033c,00000617,
0000094c,000007ce,
000011d8,00000e25,
00000e00,00001029,
00000e50,00000a17,
00001589,0000043b,
0000120e,0000101a,
00000553,0000063d,
000016e3,00001aec,
00001348,00000d70,
00000212,000005a8,
0000039c,0000169f,
000005b4,0000106e,
00000c37,000006ad,
00000fab,00000c4c,
000009ab,00001090,
00000354,000024dd,
000009e8,00000409,
00000df7,0000067a,
00000dd5,00000880,
00001229,0000013e,
00000037,00002214,
00000e50,0000095f,
0000056b,00000c19,
00000ebf,00001496,
0000142c,00000a06,
00000af5,0000251c,
0000158e,0000158c,
00000d8f,000015df,
000011fc,00000608,
00001503,000018ff,
00000a7c,00001e65,
00001423,000021e7,
00000e50,0000041e,
0000162f,00002129,
0000110f,000020a2,
00000cde,00002222,
000000a7,00001905,
00000e6c,00001c4d,
00000d97,00000df5,
00000d97,00001aec,
0000113d,00000094,
00001534,00001dec,
000008ba,0000242e,
00000b3a,0000005a,
00000f7e,00001784,
000012c9,00000bb8,
00001413,000007f9,
00001778,00000e4b,
00000234,00001c47,
00001180,000002e0,
000010a6,00001b02,
00000870,000004b2,
0000038e,00001d48,
00001123,00002571,
000015ae,0000136f,
00000073,00000a82,
00001534,00000a86,
00001697,000021f9,
00000c85,0000223f,
0000120e,000004b1,
00000f88,00000f9a,
0000122d,0000052b,
000015da,000014c0,
00000a13,000004b7,
00001771,0000067b,
00000e69,000022e4,
00000554,00001377,
00000d45,00000439,
000004ca,000008f3,
000004da,000003a6,
